,N_RAYS,zeniths,M_PARABOLA,RHO_PARABOLA,ALPHA_TUBE,arr_N_ABS_TUBE,arr_N_ABS_TROUGH,arr_N_ABS_GROUND,arr_N_ABS_SKY,arr_N_REF_TUBE,arr_N_REF_TROUGH,arr_N_SCATTERS,arr_mean_SCATTERS,arr_std_SCATTERS,arr_N_ABSORPTIONS,arr_mean_ABSORPTIONS,arr_std_ABSORPTIONS,arr_E_TOTAL,arr_E_TUBE,arr_flux_TUBE,arr_mean_lambda_TUBE,arr_std_lambda_TUBE,arr_E_TROUGH,arr_flux_TROUGH,arr_E_GROUND,arr_E_SKY,arr_mean_lambda_SKY,arr_std_lambda_SKY,arr_TIME
0,10000.0,0.1655157365194714,0.06,1.0,1.0,0.5257,0.0,0.1918,0.2825,0.0,7589.0,8986.0,0.8986,1.5307358868320566,583.0,0.0583,0.2543768479207096,3.0562820508936513e-18,1.2575964436089079e-18,6052.0772347039265,1.1164181174034724,0.838370843801683,0.0,0.0,6.830089366926316e-19,1.1156766705921118e-18,0.6708912271201226,0.5718430293815744,1.653586716205691e-25
1,10000.0,0.1655157365194714,0.06,1.0,0.98,0.5035,0.0,0.1977,0.2988,109.0,7499.0,9317.0,0.9317,1.5545664275539235,641.0,0.0641,0.26191229410812406,3.0714728352517204e-18,1.1998590935491324e-18,5745.663144632353,1.109330922655335,0.8240435080623666,0.0,0.0,7.080694616959613e-19,1.1635442800066264e-18,0.6764084803588506,0.5595773947259455,1.6618056170809893e-25
2,10000.0,0.1655157365194714,0.06,1.0,0.96,0.5021,0.0,0.1936,0.3043,229.0,7685.0,8945.0,0.8945,1.5097674290330205,614.0,0.0614,0.26350898219675517,3.039804662604458e-18,1.18699146043418e-18,5743.260427721804,1.1067901426410298,0.7836661559126111,0.0,0.0,6.7806991134447045e-19,1.1747432908258072e-18,0.6898077167716642,0.5971094305133419,1.6446717044564296e-25
3,10000.0,0.1655157365194714,0.06,1.0,0.94,0.5074,0.0,0.1947,0.2979,318.0,7935.0,8836.0,0.8836,1.5083363510354,636.0,0.0636,0.27085489886214675,3.038554407986508e-18,1.2168439178773515e-18,5890.12417461274,1.093184924452223,0.7878847950631007,0.0,0.0,6.90071981265609e-19,1.1316385088435474e-18,0.7057114795562361,0.5804158234526421,1.6439952602036775e-25
4,10000.0,0.1655157365194714,0.06,0.98,1.0,0.5068,0.0161,0.1877,0.2894,0.0,7211.0,9307.0,0.9307,1.5962933080209676,622.0,0.0622,0.26294119838355634,3.0606962286616612e-18,1.1971890024800888e-18,5753.062370667098,1.1192183011811432,0.82659853511821,3.8898606161524663e-20,24.67375579648431,6.832972310386506e-19,1.1413113889813971e-18,0.6688995765614044,0.5485210136990186,1.655974985874067e-25
5,10000.0,0.1655157365194714,0.06,0.98,0.98,0.5107,0.0147,0.1882,0.2864,84.0,7476.0,9013.0,0.9013,1.5477719049611214,581.0,0.0581,0.2548153902108521,3.0663938233567284e-18,1.2203842211889444e-18,5853.629685444495,1.0962537922057876,0.8221745671106492,3.5028237490785833e-20,22.17746001397801,6.73660859281496e-19,1.1373205053955025e-18,0.6577375491437332,0.49139667709586643,1.6590576421031714e-25
6,10000.0,0.1655157365194714,0.06,0.98,0.96,0.5019,0.0129,0.1922,0.293,201.0,7632.0,9141.0,0.9141,1.6148009004811767,570.0,0.057,0.2556511993978815,3.0555927726198964e-18,1.2014909539882955e-18,5783.3785951846085,1.112923032985162,0.8410111960625125,3.5207302512829846e-20,22.369626278177137,6.824371013152147e-19,1.1364574148035567e-18,0.6948040907490047,0.5786895707285625,1.653213785508108e-25
7,10000.0,0.1655157365194714,0.06,0.98,0.94,0.4827,0.0155,0.1939,0.3079,315.0,7533.0,9302.0,0.9302,1.5722516202935686,590.0,0.059,0.25908630332624133,3.056019483370864e-18,1.1504200156929035e-18,5536.775347800542,1.1088195034702137,0.8234223878667296,3.7470573194851835e-20,23.804313908729494,6.853203606936679e-19,1.18280853378944e-18,0.6950970187916563,0.56191624367352,1.6534446553092951e-25
8,10000.0,0.1655157365194714,0.06,0.96,1.0,0.4902,0.0264,0.1931,0.2903,0.0,7016.0,9162.0,0.9162,1.564615723504089,640.0,0.064,0.2647848392584253,3.059661544018063e-18,1.1684252140695078e-18,5616.737459345319,1.1075476932137098,0.8128266534330275,6.379934492065155e-20,40.48221641484402,6.934157012369974e-19,1.134021283790906e-18,0.6649011789965842,0.5321039545422295,1.6554151747199834e-25
9,10000.0,0.1655157365194714,0.06,0.96,0.98,0.4873,0.0293,0.1921,0.2913,107.0,7120.0,9149.0,0.9149,1.5614422180087286,646.0,0.0646,0.2750170966328167,3.0530727015021244e-18,1.158698141622135e-18,5581.999026290672,1.1035264446505546,0.8071407745972514,6.803498210596442e-20,43.26299482183802,6.910490391669378e-19,1.1352905386070873e-18,0.6972068638718568,0.6034680338693663,1.651850313140424e-25
10,10000.0,0.1655157365194714,0.06,0.96,0.96,0.4872,0.0311,0.1849,0.2968,162.0,7463.0,8945.0,0.8945,1.5777257910889289,637.0,0.0637,0.2642901718367388,3.05000767078217e-18,1.1663058373394932e-18,5624.295232222712,1.0907217664663562,0.8015008409954837,7.30371446253934e-20,46.49050945998707,6.618787727042844e-19,1.1487859161129989e-18,0.6946571319744728,0.5905358886147237,1.6501919929988663e-25
