,N_RAYS,zeniths,M_PARABOLA,RHO_PARABOLA,ALPHA_TUBE,arr_N_ABS_TUBE,arr_N_ABS_TROUGH,arr_N_ABS_GROUND,arr_N_ABS_SKY,arr_N_REF_TUBE,arr_N_REF_TROUGH,arr_N_SCATTERS,arr_mean_SCATTERS,arr_std_SCATTERS,arr_N_ABSORPTIONS,arr_mean_ABSORPTIONS,arr_std_ABSORPTIONS,arr_E_TOTAL,arr_E_TUBE,arr_flux_TUBE,arr_mean_lambda_TUBE,arr_std_lambda_TUBE,arr_E_TROUGH,arr_flux_TROUGH,arr_E_GROUND,arr_E_SKY,arr_mean_lambda_SKY,arr_std_lambda_SKY,arr_TIME
0,10000.0,0.1655157365194714,0.06,1.0,1.0,0.6708,0.0,0.1398,0.1894,0.0,9750.0,5835.0,0.5835,1.2615018385594485,364.0,0.0364,0.20513226934052206,3.057282103985417e-18,1.6581772694166241e-18,3577.31349066167,1.0733834708472543,0.8070956775800426,0.0,0.0,5.468308066902977e-19,8.522740278784947e-19,0.5502682075218926,0.4392143058662107,3.688621498216308e-25
1,10000.0,0.1655157365194714,0.06,1.0,0.98,0.6627,0.0,0.1379,0.1994,135.0,9799.0,5864.0,0.5864,1.2781621218925963,394.0,0.0394,0.21131044747130004,3.0676477760911445e-18,1.6560693693322236e-18,3560.693474219026,1.0496719115647744,0.7608994268150743,0.0,0.0,5.529175465957526e-19,8.586608601631682e-19,0.5934724933286192,0.5119007493541389,3.7011277176858185e-25
2,10000.0,0.1655157365194714,0.06,1.0,0.96,0.6459,0.0,0.1471,0.207,264.0,9841.0,5968.0,0.5968,1.2496343139462278,415.0,0.0415,0.2120901888933632,3.0458788836976562e-18,1.5860050911131433e-18,3434.420786740566,1.0703999907650457,0.7568357710633699,0.0,0.0,5.791261638137417e-19,8.807476287707712e-19,0.6069080116521861,0.5078572884656208,3.674863473254366e-25
3,10000.0,0.1655157365194714,0.06,1.0,0.94,0.6235,0.0,0.1555,0.221,405.0,9820.0,6071.0,0.6071,1.2410816324327083,416.0,0.0416,0.21696577475431805,3.077697186595957e-18,1.5396320866692985e-18,3299.5341139671095,1.0876387542662151,0.8297954971456866,0.0,0.0,6.166668502065333e-19,9.213982497201247e-19,0.6349757883079744,0.5855849948014431,3.713252366433191e-25
4,10000.0,0.1655157365194714,0.06,0.98,1.0,0.6539,0.0214,0.1335,0.1912,0.0,9439.0,5741.0,0.5741,1.222644132962485,383.0,0.0383,0.20551723463829824,3.0397168368310977e-18,1.6013769698339802e-18,3474.7375411340113,1.0916257287784266,0.8312848283171262,5.240935740166029e-20,15.010740651889732,5.380814218339645e-19,8.478490877614925e-19,0.5586863379648621,0.43840098548341233,3.667428942265101e-25
5,10000.0,0.1655157365194714,0.06,0.98,0.98,0.6434,0.0191,0.137,0.2005,116.0,9445.0,5747.0,0.5747,1.205141131367879,349.0,0.0349,0.19566762272245808,3.056501336677862e-18,1.5835991280095568e-18,3417.293030974229,1.0953193102745575,0.8661676660720888,4.7651706689565655e-20,13.573138654422616,5.501467813302598e-19,8.751037206484796e-19,0.5704153144099531,0.4268750802119934,3.6876794997425665e-25
6,10000.0,0.1655157365194714,0.06,0.98,0.96,0.6227,0.019,0.1455,0.2128,252.0,9582.0,6043.0,0.6043,1.2588407278118228,383.0,0.0383,0.20503003129145042,3.064275856082269e-18,1.5292317289264081e-18,3291.599578186503,1.0721317544100033,0.7822111279600914,4.691368876384041e-20,13.329017517393972,5.734929713196528e-19,9.146374670723676e-19,0.6000380972098915,0.49558046834878766,3.697059484460369e-25
7,10000.0,0.1655157365194714,0.06,0.98,0.94,0.6178,0.0188,0.1491,0.2143,359.0,9693.0,5949.0,0.5949,1.259743102885873,393.0,0.0393,0.21109231628981587,3.0433371323022177e-18,1.5257481738946748e-18,3306.696615865611,1.0729920802927055,0.7978590139265165,4.624990810854408e-20,13.230834133219997,5.809192847444633e-19,8.904197655545358e-19,0.6366419051381592,0.5598704663887317,3.6717968413501286e-25
8,10000.0,0.1655157365194714,0.06,0.96,1.0,0.6356,0.0366,0.1392,0.1886,0.0,9013.0,5750.0,0.575,1.222507444740213,415.0,0.0415,0.21350013637190748,3.0685765878145275e-18,1.5657489313498851e-18,3365.477673304818,1.0820649001164617,0.8383389664462105,8.670526496409865e-20,24.59998930406934,5.605710121826301e-19,8.555513793179136e-19,0.5519154731017953,0.4630606608252904,3.7022483322624714e-25
9,10000.0,0.1655157365194714,0.06,0.96,0.98,0.6172,0.0379,0.1354,0.2095,119.0,9159.0,6027.0,0.6027,1.260242647728252,386.0,0.0386,0.21145806073816414,3.0687423444844994e-18,1.5199698960946555e-18,3266.9020809981143,1.080039749385479,0.8132769135642556,9.435795044599988e-20,26.76976068196924,5.424511609278903e-19,9.11963337015954e-19,0.5923801685761576,0.5449882538368243,3.702448318261648e-25
10,10000.0,0.1655157365194714,0.06,0.96,0.96,0.6075,0.0395,0.1459,0.2071,251.0,9328.0,6038.0,0.6038,1.276553374854293,432.0,0.0432,0.2234698052878454,3.0400139639007563e-18,1.4785747548240778e-18,3207.9623701998953,1.087388298314452,0.8078518717799554,9.592012818288243e-20,27.470121968190185,5.764081392177866e-19,8.891109416760094e-19,0.59916726053528,0.5352494289600974,3.667787427108687e-25
